yearid,fipscode,raceid,ageid,genderid,educationid,indicatorid,miscid,datasourceid,estimateid,SuppressID,datasetid,GeoLevel,Estimate,SeEstimate,LowerLimit,UpperLimit
1983,-1,0,7,0,0,1,0,3,61,0,3,National,7.9,0.9,6.3,9.9
1983,-1,0,7,0,0,1,0,3,101,0,3,National,1270,144,985,1555
1983,-1,0,7,0,0,1,0,30,61,0,40,National,7.9,0.9,6.3,9.9
1983,-1,0,7,0,0,1,0,30,101,0,40,National,1270,144,985,1555
1983,-1,0,8,0,0,1,0,3,61,0,3,National,8,1.1,6.1,10.5
1983,-1,0,8,0,0,1,0,3,101,0,3,National,788,112,567,1009
1983,-1,0,8,0,0,1,0,30,61,0,40,National,8,1.1,6.1,10.5
1983,-1,0,8,0,0,1,0,30,101,0,40,National,788,112,567,1009
1983,-1,0,9,0,0,1,0,3,61,0,3,National,0.6,0.1,0.5,0.8
1983,-1,0,9,0,0,1,0,3,101,0,3,National,984,129,730,1238
1983,-1,0,99,0,0,1,0,3,61,0,3,National,2.4,0.1,2.2,2.7
1983,-1,0,99,0,0,1,0,3,101,0,3,National,5613,267,5086,6140
1983,-1,0,99,0,0,1,0,30,61,0,40,National,3.3,0.2,3,3.6
1983,-1,0,99,0,0,1,0,30,101,0,40,National,5499,260,4986,6012
1983,-1,0,99,0,1,1,0,30,61,0,40,National,6.2,0.4,5.5,7.1
1983,-1,0,99,0,1,1,0,30,101,0,40,National,2725,185,2359,3092
1983,-1,0,99,0,2,1,0,30,61,0,40,National,2.4,0.2,2.1,2.9
1983,-1,0,99,0,2,1,0,30,101,0,40,National,1578,132,1317,1838
1983,-1,0,99,0,3,1,0,30,61,0,40,National,2,0.2,1.6,2.5
1983,-1,0,99,0,3,1,0,30,101,0,40,National,1143,131,884,1403
1983,-1,0,99,1,0,1,0,3,61,0,3,National,2.1,0.2,1.8,2.5
1983,-1,0,99,1,0,1,0,3,101,0,3,National,2354,172,2014,2694
1983,-1,0,99,1,0,1,0,30,61,0,40,National,2.9,0.2,2.5,3.4
1983,-1,0,99,1,0,1,0,30,101,0,40,National,2318,170,1982,2654
1983,-1,0,99,2,0,1,0,3,61,0,3,National,2.7,0.2,2.4,3.1
1983,-1,0,99,2,0,1,0,3,101,0,3,National,3259,215,2834,3684
1983,-1,0,99,2,0,1,0,30,61,0,40,National,3.6,0.2,3.2,4.1
1983,-1,0,99,2,0,1,0,30,101,0,40,National,3181,206,2773,3589
1983,-1,0,100,0,0,1,0,3,61,0,3,National,2.7,0.1,2.5,3
1983,-1,0,100,0,0,1,0,30,61,0,40,National,3.6,0.2,3.2,3.9
1983,-1,0,100,0,1,1,0,30,61,0,40,National,5,0.4,4.3,5.8
1983,-1,0,100,0,2,1,0,30,61,0,40,National,2.9,0.3,2.4,3.4
1983,-1,0,100,0,3,1,0,30,61,0,40,National,3,0.4,2.3,3.9
1983,-1,0,100,1,0,1,0,3,61,0,3,National,2.5,0.2,2.2,3
1983,-1,0,100,1,0,1,0,30,61,0,40,National,3.4,0.3,2.9,4
